label,text
ham,"Hey, are we still meeting for lunch today?"
ham,I'll call you after the meeting finishes.
ham,Can you send me the report by tonight?
ham,Let's catch up this weekend at the park.
ham,Don't forget to bring your notebook tomorrow.
spam,Congratulations! You've won a free iPhone. Click here.
spam,Get cheap loans approved instantly. Apply now!
spam,Exclusive deal just for you. Claim your prize today.
spam,You have been selected for a cash reward. Visit link.
spam,URGENT! Verify your account to avoid suspension.
